a_hat,Nu_hat,N_hat,No,trial,T,avg_n,N,type
-999.0,575.66336996337,873.66336996337,298,103,15,23.733333333333334,1000.0,Jackknife k = 3
-999.0,812.744474969475,1110.744474969475,298,103,15,23.733333333333334,1000.0,Jackknife k = 5
-999.0,2839.5471323498014,3137.5471323498014,298,103,15,23.733333333333334,1000.0,Conway-Maxwell-Poisson
-999.0,656.1310490000851,954.1310490000851,298,103,15,23.733333333333334,1000.0,Turing
-999.0,422.0238095238095,720.0238095238095,298,103,15,23.733333333333334,1000.0,Jackknife k = 2
-999.0,234.26666666666665,532.2666666666667,298,103,15,23.733333333333334,1000.0,Jackknife k = 1
-999.0,851.364864864865,1149.364864864865,298,103,15,23.733333333333334,1000.0,Chao
2.047890990258037,442.5611680239528,816.5611680239529,374,103,20,29.15,1000.0,Pseudolikelihood
-999.0,642.813490968738,1016.813490968738,374,103,20,29.15,1000.0,Turing Geometric
-999.0,3.261368302915969,377.26136830291597,374,103,20,29.15,1000.0,Huggins
-999.0,231.11004784688998,605.11004784689,374,103,20,29.15,1000.0,Schnabel
-999.0,296.7797056493033,670.7797056493033,374,103,20,29.15,1000.0,Zelterman
-999.0,464.5745012039903,838.5745012039903,374,103,20,29.15,1000.0,Jackknife k = 4
-999.0,423.0530701754386,797.0530701754386,374,103,20,29.15,1000.0,Jackknife k = 3
-999.0,491.22288226694184,865.2228822669418,374,103,20,29.15,1000.0,Jackknife k = 5
-999.0,480.2555496770881,854.2555496770881,374,103,20,29.15,1000.0,Conway-Maxwell-Poisson
-999.0,230.02792388260275,604.0279238826027,374,103,20,29.15,1000.0,Turing
